Name,Age,Manipulation Capacity,Analitical Capacity,Computer Skills,Teamwork,Self Learning,Best Career
Person_0,48,8.403738105931488,7.145750311643148,4.104846180462021,4.49112595394314,6.558186890301235,Electrical Engineer
Person_1,59,7.244031911556961,7.441338482882143,4.178800437691911,5.221922657850659,5.328050038875107,Materials Engineer
Person_2,50,7.08448819613573,8.954226646900718,3.1379854828575153,6.8988775026723825,5.983682036576447,Chemical Engineer
Person_3,33,8.992837350895053,7.58794305346951,3.290908847189135,5.370440467054099,6.47220793359408,Mechanical Engineer
Person_4,25,8.21510347246415,7.451231361981866,5.447985499159016,4.308598750238399,6.119575237805361,Electrical Engineer
Person_5,49,9.970906966507414,6.391026300529878,3.377545660892144,7.8646668616340305,6.867210064974117,Civil Engineer
Person_6,36,6.11433328962781,7.343899490474388,5.5743954020990305,6.362334222968561,6.308726685724691,Environmental Engineer
Person_7,37,6.7604059173524025,9.637836819395375,6.1602641425809095,5.982454376827889,7.531713292907095,Biomedical Engineer
Person_8,52,5.930098797303835,6.542920949550496,6.941147411405045,7.282329532242693,6.532502066189732,Environmental Engineer
Person_9,39,8.229865993408593,7.430818658710395,5.288428437521047,3.6729851176342505,7.790566397669795,Electrical Engineer
Person_10,46,8.65570196547495,8.033245552906848,3.5939240086319724,5.529667436011373,6.578713261940298,Mechanical Engineer
Person_11,43,7.9773303937748885,8.02109602410513,3.70553211259382,5.5431090566198815,6.283045422263935,Chemical Engineer
Person_12,28,8.307405320242733,7.3528056634487555,2.8152978254130607,6.805739160270845,6.3357933491190215,Civil Engineer
Person_13,51,8.271484530969754,7.290807673797004,3.5889933628717223,5.0912713140007515,6.348457034308227,Mechanical Engineer
Person_14,59,6.399859597502795,9.261209545153573,5.545935909174677,6.739310643569096,7.072783205932849,Biomedical Engineer
Person_15,28,6.822810315003041,7.013964949344728,4.801472610538597,6.613137428367138,6.843996180563095,Chemical Engineer
Person_16,23,5.72767558195955,9.169815224746099,7.787856546959001,5.253861191576176,6.133866600768207,Software Engineer
Person_17,56,9.577517445190283,7.074496681100314,3.996165031393538,5.495453501852495,7.495832723183,Mechanical Engineer
Person_18,32,8.797808554941263,8.066271980691184,4.279900421357242,4.406967565824371,7.336823612769089,Aerospace Engineer
Person_19,24,7.834134042861894,7.4702603892324735,3.85116002180219,5.537975834851773,5.65158384538541,Chemical Engineer
Person_20,24,8.358318256195464,7.942571596053195,4.263892992869237,6.716944461240023,7.64863571268775,Mechanical Engineer
Person_21,38,7.008481006971708,9.802840983366549,6.248776700401537,6.477861207545688,6.187238048970883,Biomedical Engineer
Person_22,54,6.555507725569019,6.377261747661368,5.306286161062957,6.079427558471672,5.5112298646765465,Environmental Engineer
Person_23,36,6.432697081391318,8.043678275277886,3.5709543625540574,6.225103794455699,5.906343270044325,Chemical Engineer
Person_24,44,7.365612581356926,8.254461442698824,3.7785538231080635,6.342057921221368,5.931704777345076,Chemical Engineer
Person_25,47,9.459072263264929,7.611602724615733,3.900703703504111,5.683215206214731,7.3801288198393165,Mechanical Engineer
Person_26,30,9.57838001128461,7.691644576703727,3.770485320180594,6.717170204897829,5.4359286506729365,Civil Engineer
Person_27,56,7.666017709386463,8.370946875659712,5.123293010174705,7.4230895671951345,5.869104862919936,Industrial Engineer
Person_28,31,6.474111202097738,7.218103041484509,4.381107272637093,8.674828125445826,5.384269299900777,Industrial Engineer
Person_29,27,6.543059605955695,7.919371832200324,5.62252210686835,8.128910513607892,5.0447755026407535,Industrial Engineer
Person_30,45,8.40682154695752,9.814937626226547,3.4502658507413573,5.247902677015213,7.526844774652048,Aerospace Engineer
Person_31,52,7.572134837884643,7.159890057520018,3.4915497541464777,5.189893180665659,5.519209666916781,Chemical Engineer
Person_32,43,7.446791989802362,7.213579612781699,4.456692257776457,8.509115685881056,5.985736627513145,Industrial Engineer
Person_33,37,5.992686151868252,8.277872919409951,8.032639578737431,5.367495672492364,7.561963301909252,Software Engineer
Person_34,52,6.5883282621243175,8.196132352911619,7.85683512445553,4.07973247197612,6.512615361575775,Software Engineer
Person_35,37,8.548507667505755,9.729270790035383,3.6342057541228865,5.475341342766555,7.505428231819033,Aerospace Engineer
Person_36,44,9.578321592797018,6.497749942781055,3.1922299741349978,6.456532367501467,6.843927579820999,Civil Engineer
Person_37,55,6.98134800619659,8.042554019201052,4.438583507960345,5.383219369716935,6.770619299209411,Chemical Engineer
Person_38,34,7.6216581366986365,8.523403893116095,3.3555676459629686,4.547522871760757,6.971707620151532,Aerospace Engineer
Person_39,47,6.280520191027222,7.812056557842363,5.251400813621032,6.433993220997021,6.5845673671705045,Environmental Engineer
Person_40,39,8.560078394216504,7.7487694530491815,3.4332859042570654,6.288144801477582,6.773892134461237,Civil Engineer
Person_41,50,9.222850251412536,6.97879538452046,3.7725428019719924,6.088553260947331,5.266013594124351,Civil Engineer
Person_42,33,5.011564913540612,6.795276386166995,6.764082418334965,7.953273152465999,5.357069997980185,Environmental Engineer
Person_43,31,6.15687524883579,9.235062454538834,8.196321107130222,5.327577663396458,7.398742225013714,Software Engineer
Person_44,34,6.552208038390914,7.642881708040974,5.730256577705907,8.823821745170838,5.9749706977039025,Industrial Engineer
